NUTS_CODE,x,y
DEA59,3428349.2168037156,5661726.699436763
DEA5A,3443467.989094431,5645016.544286387
DEA5B,3445809.332502582,5714731.467335233
DEA5C,3405560.560947131,5716881.754679351
DEB11,3398973.8300981834,5580139.294102639
DEB12,3361263.2263571704,5594243.044780338
DEB13,3411426.839908426,5624665.856526712
DEB14,3405565.992986286,5521746.161729377
DEB15,3375844.897327765,5509856.754443017
DEB17,3381328.3632708187,5578625.96280629
DEB18,3391591.5930883037,5603557.86984389
DEB1A,3417550.679823208,5570328.641968218
DEB1B,3419674.295499497,5602447.101164725
DEB1C,3369551.214856653,5556774.520104959
DEB1D,3392629.1883328366,5546391.656991512
DEB21,3331128.6675656796,5516649.931269868
DEB22,3354130.759330709,5533993.658866787
DEB23,3314653.624992899,5550509.417336091
DEB24,3339480.330254755,5569342.537014192
DEB25,3333790.9648393574,5509200.997839975
DEB31,3453530.8926773546,5488692.772307323
DEB32,3410186.8365981057,5478058.188990731
DEB33,3430952.373969685,5454577.030791783
DEB34,3456363.7655569054,5482975.9770631995
DEB35,3445666.135610702,5537813.897285208
DEB36,3438470.8264045743,5467560.069730118
DEB37,3397642.0515843327,5452066.877534641
DEB38,3459001.442168058,5466011.331889318
DEB39,3451292.47651273,5501631.562176435
DEB3A,3381064.202020789,5458074.13623267
DEB3B,3439355.1205301005,5513989.392324548
DEB3C,3435556.4971576594,5479942.562280274
DEB3D,3421698.772050202,5500035.106286866
DEB3E,3445034.853624267,5442338.430212723
DEB3F,3404708.3450878267,5479644.697218284
DEB3G,3389436.2827766878,5491459.476314092
DEB3H,3430680.422950398,5450790.043477599
DEB3I,3453689.8642314957,5475701.391690536
DEB3J,3434007.5469365832,5532147.376460664
DEB3K,3402362.1535491343,5453208.554784888
DEC01,3351361.4839913244,5459148.060718625
DEC02,3332043.5192548274,5486915.017055411
DEC03,3363353.091592762,5472676.497197505
DEC04,3338470.829188709,5471083.1552536115
DEC05,3372093.3371304898,5458324.248146101
DEC06,3362540.839610637,5488703.423195171
DED21,3835300.6570903948,5669936.899621812
DED2C,3865047.124658274,5694563.996553198
DED2D,3901678.584405456,5692402.922423034
DED2E,3813072.98929556,5687830.030795863
DED2F,3842697.6166208624,5653718.54674017
DED41,3775657.227427807,5639624.05283954
DED42,3779263.897405978,5615576.9413054325
DED43,3790794.056173448,5654872.024469772
DED44,3729787.949599383,5596210.990938169
DED45,3748865.2162660556,5629841.3257739805
DED51,3735199.4881429076,5695127.415311538
DED52,3751497.424964003,5682434.823983672
DED53,3762658.3704823903,5711047.522780309
DEE01,3722668.759915811,5751563.826894677
DEE02,3706280.7814516253,5709205.884025707
DEE03,3680985.7385772537,5779156.35747444
DEE04,3650700.092875945,5840874.804666606
DEE05,3716922.177389978,5744774.504255832
DEE06,3706671.5512438933,5796209.036918787
DEE07,3660503.348262382,5790034.401950416
DEE08,3701857.0280644996,5671991.6644791765
DEE09,3635133.4500485384,5744818.710299186
DEE0A,3663556.9297974505,5713881.972446476
DEE0B,3699349.296447461,5702892.365570995
DEE0C,3682148.018946118,5749712.886037895
DEE0D,3692034.145075533,5844186.0449364325
DEE0E,3755293.4289677497,5749382.275584351
DEF01,3528275.087691801,6052939.168993939
DEF02,3573745.312000039,6022214.061193355
DEF03,3613688.080841644,5972666.789702529
DEF04,3564514.119852965,5994930.665713139
DEF05,3507088.6462184447,6000349.037244382
DEF06,3606124.795083932,5940910.847022343
DEF07,3493397.0452954858,6053927.006201687
DEF08,3618722.71151665,6008024.90018425
DEF09,3548811.716493596,5954295.470325239
DEF0A,3588952.863877904,6013409.075284646
DEF0B,3550946.890450645,6017955.53338134
DEF0C,3532570.2299188315,6054972.891503699
DEF0D,3575006.307619033,5977164.970707519
DEF0E,3534184.8859060095,5977677.678011319
DEF0F,3587957.940379525,5955207.956368331
DEG01,3641933.059174767,5651725.055952188
DEG02,3716945.2483860482,5644381.638364389
DEG03,3681956.973644523,5646406.587780668
DEG04,3621656.203034028,5610909.02564536
DEG05,3662852.1476516677,5651791.081076661
DEG06,3587315.345567077,5695067.002686677
DEG07,3620253.116615149,5708942.459877471
DEG09,3608578.548641296,5673400.126800368
DEG0A,3638423.707935789,5689669.924504749
DEG0B,3598891.7294669603,5611523.691453118
DEG0C,3619188.267030734,5643059.623787018
DEG0D,3650805.840585992,5671414.486292315
DEG0E,3623268.123765056,5590108.315487218
DEG0F,3639459.52835675,5624855.897378942
DEG0G,3666766.3603721354,5651159.010493681
DEG0H,3651891.0944552054,5589448.011733695
DEG0I,3663645.0239318428,5614235.349382011
DEG0J,3692189.7433024677,5644535.767251127
DEG0K,3692043.862474834,5608508.613317762
DEG0L,3717012.3768757866,5628155.562139079
DEG0M,3738877.7027498237,5652298.037037657
DEG0P,3585350.407460772,5640478.397262135
